Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
040,01,000,00000,00000,00000,Alabama
040,02,000,00000,00000,00000,Alaska
040,04,000,00000,00000,00000,Arizona
040,05,000,00000,00000,00000,Arkansas
040,06,000,00000,00000,00000,California
040,08,000,00000,00000,00000,Colorado
040,09,000,00000,00000,00000,Connecticut
040,10,000,00000,00000,00000,Delaware
040,11,000,00000,00000,00000,District of Columbia
040,12,000,00000,00000,00000,Florida
040,13,000,00000,00000,00000,Georgia
040,15,000,00000,00000,00000,Hawaii
040,16,000,00000,00000,00000,Idaho
040,17,000,00000,00000,00000,Illinois
040,18,000,00000,00000,00000,Indiana
040,19,000,00000,00000,00000,Iowa
040,20,000,00000,00000,00000,Kansas
040,21,000,00000,00000,00000,Kentucky
040,22,000,00000,00000,00000,Louisiana
040,23,000,00000,00000,00000,Maine
040,24,000,00000,00000,00000,Maryland
040,25,000,00000,00000,00000,Massachusetts
040,26,000,00000,00000,00000,Michigan
040,27,000,00000,00000,00000,Minnesota
040,28,000,00000,00000,00000,Mississippi
040,29,000,00000,00000,00000,Missouri
040,30,000,00000,00000,00000,Montana
040,31,000,00000,00000,00000,Nebraska
040,32,000,00000,00000,00000,Nevada
040,33,000,00000,00000,00000,New Hampshire
040,34,000,00000,00000,00000,New Jersey
040,35,000,00000,00000,00000,New Mexico
040,36,000,00000,00000,00000,New York
040,37,000,00000,00000,00000,North Carolina
040,38,000,00000,00000,00000,North Dakota
040,39,000,00000,00000,00000,Ohio
040,40,000,00000,00000,00000,Oklahoma
040,41,000,00000,00000,00000,Oregon
040,42,000,00000,00000,00000,Pennsylvania
040,44,000,00000,00000,00000,Rhode Island
040,45,000,00000,00000,00000,South Carolina
040,46,000,00000,00000,00000,South Dakota
040,47,000,00000,00000,00000,Tennessee
040,48,000,00000,00000,00000,Texas
040,49,000,00000,00000,00000,Utah
040,50,000,00000,00000,00000,Vermont
040,51,000,00000,00000,00000,Virginia
040,53,000,00000,00000,00000,Washington
040,54,000,00000,00000,00000,West Virginia
040,55,000,00000,00000,00000,Wisconsin
040,56,000,00000,00000,00000,Wyoming
040,72,000,00000,00000,00000,Puerto Rico